HIP,RA_deg,Dec_deg,Vmag,BV
318,1.00967468,-38.59474913,9.4500,1.1150
319,1.01581829,62.22195138,8.1900,0.2600
321,1.03267114,-25.89254967,8.9300,0.6070
322,1.03517441,56.92100467,7.6500,0.9920
324,1.04254351,17.43668381,8.5300,0.4910
323,1.04272795,49.87020726,7.3800,1.0030
325,1.04362757,39.12012608,8.5600,0.6150
326,1.04484023,11.26438632,8.7600,1.6920
327,1.04616137,-4.92610737,9.5600,0.3900
328,1.04953066,-30.13491782,7.0900,-0.0850
329,1.05137431,-10.14127928,9.8300,0.6990
330,1.05693212,62.28766460,5.9000,0.2740
331,1.05951147,-26.95235161,10.8000,0.8820
332,1.06083408,-34.41465369,8.4100,0.5630
333,1.06304747,-17.42485068,9.0500,0.1600
334,1.06385875,60.15501928,8.7900,0.0800
335,1.06601848,14.08162325,8.8800,0.2530
336,1.06656723,65.15296110,7.5900,1.6800
337,1.06725539,-25.91498946,9.6000,0.7500
338,1.06734897,66.34913841,10.6600,1.4500
339,1.06871389,-59.31518062,8.5500,0.0370
340,1.07383315,-43.98832631,8.1100,0.4840
341,1.07749772,-23.25395215,9.4400,1.0690
342,1.07898302,-20.56874520,9.6000,0.5490
343,1.08233885,-16.52888969,5.7800,1.0840
344,1.08364803,40.10995515,10.6600,1.5000
345,1.08457463,-29.26883006,6.3800,0.0060
346,1.08780834,-53.90948292,8.8000,1.0310
347,1.08869988,54.27460172,7.7900,-0.0890
348,1.08880039,12.95705512,8.6000,0.6400
349,1.09539438,-29.38157885,7.7700,-0.0580
350,1.09930910,-57.32287483,10.3700,1.1000
351,1.10262290,-47.06812971,9.8000,0.8550
352,1.11010195,58.06878245,10.4200,0.8000
353,1.11103092,-44.56734318,11.6300,0.9710
354,1.12334321,51.82930460,9.2200,1.0010
355,1.12550980,-10.50949443,4.9900,1.6190
356,1.12570193,-6.96533727,8.4300,0.6110
357,1.12719406,-72.89722070,7.3300,0.4440
358,1.13935928,-76.34653399,8.9300,1.0250
359,1.14426919,-76.87353696,9.0900,0.6390
360,1.14551227,71.96854252,9.2600,1.1620
361,1.14780002,-71.69499867,8.7300,1.0360
362,1.15064352,-19.43786312,9.1800,1.1690
363,1.15170942,43.55131855,8.1200,2.5300
364,1.15203505,-15.88920125,9.2600,1.1490
366,1.15246785,-31.16905083,8.9400,1.1810
365,1.15248379,42.09256148,6.1100,0.1590
367,1.15561443,-81.34531911,9.1300,0.2390
368,1.15607578,2.93722463,7.9000,1.2490
369,1.15890684,29.72229656,9.3400,0.9500
370,1.15940288,-51.58336438,7.1300,1.2600
371,1.16032911,-50.03593839,10.8200,1.0210
372,1.16559564,-70.40421693,7.4600,1.0720
373,1.16597990,-8.18490648,8.7200,1.5080
374,1.16704444,34.26519797,7.0200,1.1000
376,1.17156400,6.52258527,8.3700,0.8810
377,1.17188841,-71.43685835,5.5900,-0.1000
378,1.17191906,14.96533616,7.3700,0.4220
379,1.17432297,67.16638761,5.6800,1.0510
380,1.17796311,17.06977988,8.5600,0.7920
381,1.18518654,51.53385066,8.7200,-0.0140
382,1.18816317,-32.36102308,9.0600,0.3680
383,1.18887204,0.05649086,8.8200,0.4330
384,1.19286162,1.53694172,8.1800,0.3760
385,1.19515384,38.17382611,9.3900,0.7350
386,1.20394853,68.18869710,9.1000,0.6520
387,1.20814095,38.78622411,8.4600,0.5560
388,1.21025761,6.41668139,9.1500,0.3940
389,1.21171086,-29.63304603,8.2800,0.0020
391,1.21196013,43.97079063,8.1800,0.4300
392,1.21651501,30.08593131,7.9300,0.4780
393,1.21827175,51.98257157,9.2100,0.9640
394,1.22172791,34.65955259,6.0900,0.6320
395,1.22216274,-30.25661295,8.3100,0.0360
396,1.22460634,-31.99660262,7.8300,1.2560
397,1.22530082,52.24894130,8.7200,0.0820
398,1.22902690,58.53217392,6.6100,0.0250
399,1.23302998,26.64879958,6.2500,1.3680
400,1.23366004,23.26964739,7.8200,0.7550
401,1.23422583,56.05695930,8.6600,1.6140
402,1.23494365,64.78140759,8.1500,0.4750
403,1.23720433,-18.17850304,8.9700,0.6740
405,1.23950992,51.18064908,8.1500,1.2010
404,1.23961728,45.67395209,7.4700,0.5500
406,1.24392487,26.72525618,8.6300,1.5700
407,1.24427458,-70.21220744,8.1300,0.7100
408,1.24502692,57.46874679,8.2300,0.9860
409,1.24608894,-70.49241628,8.4100,0.4610
410,1.25472644,27.67479979,6.4700,0.9460
411,1.25663332,33.36001239,9.8300,1.5400
412,1.25755802,66.51678960,8.6400,1.3000
413,1.26034142,-36.01527326,7.7300,0.5370
414,1.26224739,-59.82810463,8.6400,0.8890
415,1.26379805,9.28002796,8.9400,0.4150
416,1.26440114,1.03782858,8.8400,0.7590
417,1.26581912,-0.50290553,6.3200,1.0990
418,1.27555231,61.31396468,5.8000,-0.0670
419,1.27871117,-42.56781669,8.9700,0.8600
420,1.28166779,-52.15142338,7.5300,0.5770
422,1.28675856,67.84002075,7.4100,1.2880
423,1.28858787,30.32911509,7.8000,0.4370
425,1.29047896,-62.84527102,8.1400,0.5930
424,1.29075302,45.22907883,6.7100,0.0680
427,1.29143885,-43.85083352,8.7300,1.1240
426,1.29174694,30.33130736,9.3700,0.5100
429,1.29232665,2.39731072,8.6900,0.6440
428,1.29233645,45.78693438,9.9500,1.4720
430,1.29294285,-32.46851165,7.1000,1.1280
431,1.30198518,36.30368114,8.0900,0.4960
432,1.30417878,35.57110311,6.8800,0.1740
433,1.31190920,3.00739806,9.4800,1.0370
